Gostei muito da didática e da condução do curso pude aproveitar e utilizar oque aprendi logo de início! Parabéns
"sim, serviu para abrir minha mente e ver que Data Science pode ser aplicada em praticamente tudo nos dias de hoje, só basta o conhecimento adequado."
"Muito bom o curso, sem duvidas já te torna hapto ou pelo menos te da a base necessária para se trabalhar profissionalmente com machine learning."
"Didática muito boa, e sempre relembrando conhecimentos de aulas anteriores nas aulas futuras. assim como as apostílas muito bem criadas. Parabéns!!!!"
"Para pessoas que estão querendo aprender machine learning mais por hobby do que por profissão, acho que não é o curso ideal, mas sem duvidas aprendi muito sobre."
"Leva nota 2, por conta do conhecimento demonstrado pelo professor, senão levaria menos pelos seguintes motivos: O curso acaba de repente faltando aulas de Big Data e Spark. Está desatualizado. Várias pessoas estão ficando sem resposta no fórum, logo, o suporte não está mais sendo dado."
"O curso é muito didático, tanto nas aulas quanto nos exercícios. Além disso, é muito rico em conteúdo, mostrando diversas bibliotecas muito interessantes para Data Science no Python. Parabéns para o instrutor!"
"O professor não responde às perguntas e o conteúdo é bem superficial, no estilo: ""faça assim e obtenha isso"". O professor não detalha como podem ser utilizados os modelos na prática, uma vez que do jeito que o conteúdo é repassado apenas reproduzimos as linhas de código e não geramos as equações para aplicação com a introdução das variáveis. Se pegarem os tópicos das aulas e jogarem no Youtube da para se ter o mesmo curso, porém de graça."
"Falta didática - Muito superficial!! O Professor não explica o processo! Sendo assim, o curso se torna um curso de ""DECOREBA"", onde devemos decorar todos os comandos para conseguir prosseguir. Aparentemente o Professor não domina o conteúdo ou não possui didática para passar o"
"É o meu 1o curso na Udemy, assim tem a novidade de fazer um curso no formato de video aulas."
"Falta finalizar a seção de Big Data e Spark com Python, foi apresentado somente como criar o servidor virtual, mas não foi mostrado como utilizar com Python."
"O curso é extenso, tornando-o cansativo. Acredito que se o curso fosse dividido, formando uma cadeia de cursos, o resultado seria mais interessante, pois a cada curso da cadeia, poderíamos praticar e depois continuar com os próximos curso."
"Ótimo curso, me ensinou o que precisava sobre o básico de Python, bibliotecas importantes de processamento, armazenamento e visualização de dados, além dos métodos principais de aprendizado supervisionado e não supervisionado. No entanto, a última seção foi interrompida no meio, ficaria muito grato se o professor pudesse continuar o ensino de Big Data e Spark."
"O conteúdo é muito bacana, é possível ter uma visão geral do que é o Machine Learning. Contudo, o professor em geral não responde às dúvidas, o que, ao meu ver, implica uma deficiência no aprendizado."
"O curso é realmente completo. Estou fazendo pela segunda vez pra fixar melhor o que aprendi, pois é muita coisa pra quem está começando agora pegar de uma só vez. Agradeço ao instrutor por ter se disponibilizado a fazer este curso. Excelente material para aprendizado e futuras consultas."
"O curso ainda não está com todas as aulas do módulo Big Data. Então, espero por elas. Bom curso e material OK, principalmente para os primeiros capítulos."
"Bom curso e material OK, principalmente para os primeiros capítulos. Bom curso e material OK, principalmente para os primeiros capítulos. Porém, vídeos faltantes e alguns mal editados fazem ele um curso bem médio. No caso, eu não estou estudando apenas por esse curso, ele está sendo complementar, portanto não me afeta tanto."
Gostei bastante do curso mas nas ultimas duas sessões achei que o instrutor poderia falar um pouco mais sobre o tema spark.
No final houve uma pequena queda na qualidade. Mas em sua maior parte o curso satisfez minhas expectativas.
"O curso foi bom!!! Agora posso dizer que tenho uma ""boa base"" sobre Machine Learning. Gostaria que me indiquem outro curso onde só seja prática, sobre Machine Learning."
Permite começar com codigos simples em Python até questões complexas de jeito simples - é necessário bastante complemento teórico sobre o funcionamento de muitas funções.
"Agora posso dizer que tenho uma ""boa base"" sobre Machine Learning. Gostaria que me indiquem outro curso onde só seja prática, sobre Machine Learning. Muito obrigado"
"Tem muito conteúdo por baixo preço, mas quanto mais foi se aproximando do machine learning, mais as aulas foram ficando corridas e pobres em detalhes. Essa tendência só piora até o fim do curso. Então no geral é um curso médio, vai te introduzir pra um mundo novo, mas quanto ao machine learning você precisa de outros ambientes pra de fato aprender os básicos."
"O curso não é completo, como está descrito do título, esta faltando a parte de Big Data e diversas vezes não é possível ver o que o professor está escrevendo porque a tela está fora do campo de visão"
"O curso é realmente muito bom. Muitos dos conceitos são revistos várias vezes e principalmente na parte de Machine Learning há diversos exercícios para praticar. Algumas coisas eu fiquei um pouco na dúvida, mas o próprio professor instruir onde consultar os materiais corretos e isso da uma boa direção para que a pessoa possa criar também uma autonomia na interação com dados."
"ótimo curso, excelente didática tbm.. constrói uma base solida em data Science e machine learning, porem o curso foi abandonado na parte de big data."
"Bom curso. Entrega o que promete, começa com uma introdução básica e rápida de python, utiliza bastante tempo no pandas, que ao meu ver é essencial para tratamento de dados. E por fim explica e exemplifica alguns algoritmos de machine learning."
"Curso muito bom! Só não tem respostas para as perguntas feitas ao longo do curso. Fiz algumas perguntas, nenhuma foi respondida e verifiquei que as últimas respostas dadas têm no mínimo 2 anos."
"O curso estava satisfazendo a demanda de aprendizado até o capítulo de BIG DATA, pois esse capítulo ficou pela metade."
"Curso muito bom! Só não tem respostas para as perguntas feitas ao longo do curso. Fiz algumas perguntas, nenhuma foi respondida e verifiquei que as últimas respostas dadas têm no mínimo 2 anos. Uma crítica que faço é que toda codificação ocorre na IDE Jupyter e imagino que não seria a IDE para desenvolvimento, uma vez que tem muito mais cara de ser utilizada para educação. Quem for estudar e quiser já ir desenvolvendo código, eu sugiro utilizar a IDE Atom, muito boa mesmo quando instalados os plugins necessários como hydrogen."
"Curso introdutório bastante completo, com uma base sólida, principalmente, nas bibliotecas utilizadas para análise exploratória e tratamento de dados. Porém no módulo referente à biblioteca Plotly é utilizada uma versão desatualizada do código, sendo necessário recorrer a documentação, e o último módulo referente à Big Data e Spark não foi finalizado."
"Curso está abandonado, professor não responde mais as perguntas de duvidas e o curso não foi finalizado, a ultima seção está incompleta."
"a última seção ficou incompleta, não teve todas as aulas de como trabalhar com big data no servidor AWS, parando na aula de criação da máquina virtual. Não entendi o porquê disso, mas de resto, foi bom."
"O final do curso está incompleto, de resto um excelente curso introdutório que apresenta a maioria dos conceitos básicos de Data Science"
"curso muito abaixo do esperado. professor não responde as perguntas fazem anos, aparentemente, abandonou o curso."
Amei o curso. Atendeu as minhas expectativas. Aborda os principais assuntos de ML através de conceitos e prática.
"A parte de análise de dados se da de forma muito boa, entretanto a parte de machine learning peca um pouco em usar uma biblioteca razoavelmente simples, entretanto competente, poderia ter abordado tensorflow por exemplo, alem disso a parte que trata bigdata e spark foi totalmente ignorada pelo professor."
"O curso é ótimo. Aprendi bastante, mas faltou alguns conteúdos que são bastante usados na ciência de dados que é o SQL, penso que faltou isso para que o curso estivesse realmente completo. Mas parabenizo o professor Rodrigo Soares pela didática e pela facilidade nas explicações e sugiro fazer uma atualização do curso pois eu fiz em 2020 e senti falta de alguns conteúdos atuais mais exigidos no mercado. Os conteúdos do curso vão me servir bastante para seguir minha carreira como cientista de dados e posteriormente Engenheiro de Dados. No geral dou nota 9 numa escala de 0 à 10."
It was actually pretty good until the end but the course was cut when clearly there were still lectures missing... Very important ones ...
"Não é superficial, é prático, bastante abrangente, com professor que domina o assunto!"
"Esta faltando a parte final a mais de anos, o professor sumiu?"
"Sim, mas falta a sessão sobre o spark"
Esperava mais participação do professor respondendo as perguntas dos alunos.
